lap,sector,duration_s,distance_m,avg_speed_kph,avg_power_w,avg_current_mA,max_current_mA,energy_wh,efficiency_wh_per_km,avg_grade_pct,peak_speed_kph
2,12,44.125,317.39301542600896,25.894954233056822,184.13552380821918,8120.424657534247,23921.0,2.2512867598669444,7.09305703165912,0.27032646980926456,60.384124530753375
3,1,42.82399999999999,304.4857818569527,25.596600380278115,0.22708183098591556,10.0,10.0,0.002701284388888889,0.008871627346323683,0.18356201939763908,66.44845060204167
3,2,34.392999999999994,319.3120157260303,33.42317496623468,259.35831482142856,11431.767857142857,23358.0,2.4769444340005555,7.7571288019608176,0.24641754780496156,65.25429538389416
3,3,49.42699999999999,315.90974062288944,23.009186603322117,79.09702879268293,3482.439024390244,7000.0,1.0825829053925,3.426874091498212,-0.03057056391818851,51.70882441831238
3,4,39.032,312.5616033772552,28.82818641520083,0.22867031249999997,10.0625,12.0,0.002479108125,0.007931582440750951,-0.058241467693635765,91.47393696165004
3,5,43.762,308.7883324191356,25.401901117610898,72.63677518309858,3201.957746478873,21227.0,0.8937665223938889,2.8944310019483823,-0.01128953967473178,57.22955318294651
3,6,31.85,311.29866482178306,35.186034328364805,200.12857845283017,8814.301886792453,16810.0,1.7696956842341667,5.684880419411077,-0.07889910899157893,61.80353729348617
3,7,39.937000000000005,316.685738496466,28.546677481715637,29.12019863636364,1282.1060606060605,6991.0,0.32256227505111107,1.01855636626564,-0.09878122749193595,55.614634119217264
3,8,59.59299999999999,314.6168032924587,19.00593176804074,113.22294234020617,4988.19587628866,18095.0,1.8724621371802779,5.951564308024867,-0.11003161037338609,38.38405461023229
3,9,33.842,310.0268117818197,32.979626570963624,1.1450384821428572,50.392857142857146,65.0,0.010748910125555556,0.03467090495747208,-0.10367495716829252,64.47306146202249
3,10,39.876999999999995,317.64468380573965,28.67620086016157,0.7719032575757576,34.0,65.0,0.008562615728333334,0.026956584400354484,-0.10197560394885571,58.79032259631019
3,11,44.127,307.05081178931584,25.050035634453668,0.567375,25.0,65.0,0.0069319734083333326,0.02257598137564845,0.04259784204572345,99.90510523113966
3,12,36.102,314.06611313938714,31.317877328175555,0.22695881355932207,10.0,10.0,0.0022760164194444445,0.0072469340824245975,0.21638063778778358,59.14029360415875
